Finally (feat. Julie McKnight); Kings Of Tomorrow, Mochakk  
SET IT ON FIRE; ANOTR  
Heat Up The House; Mainline  
It's Not Right But It's Okay; Mr. Belt & Wezol  
She's Gone, Dance On; Disclosure  
Fourth Dimension; Marco Lys, Luca Garaboni  
At Night - Kid Crème Club Mix; Shakedown, Kid Crème  
Locomotiva Ibiza 2099 feat. VTSS; Mochakk, VTSS  
Weak; Vintage Culture, Maverick Sabre, Tom Breu  
Sunshine (My Girl); Wuki  
Last Night; Loofy  
Dirty Cash (Money Talks); PAWSA, The Adventures Of Stevie V  
This Is The Sound; Riva Starr, Todd Terry  
King of My Castle (Roy Malone's King Radio Edit); Roy Malone  
F The Disco; Cavi  
Jealous; Mochakk  
My My My; Armand Van Helden  
So Hooked On Your Lovin; Selace, Mousse T.  
Somethin' Here - Original Mix; Terrence Parker  
Geekin; Dateless  
Downstream; Makèz, Life on Planets  
My City’s On Fire - Club Edit; Jimi Jules  
How You Feel (Ft. Leven Kali); ANOTR, Erik Bandt, Leven Kali  
Rabbits In A Hurry; Superpitcher  
Different Side; Michael Bibi, KinAhau, Audio Bullys  
ADD SUV (feat. Pharrell Williams); Armand Van Helden Remix 
Bitch, Don’t Kill My Vibe; É Trace, Liquid Rose
Shook Ones, Pt. III; Mobb Deep, Nick Morgan  
TOO COOL TO BE CARELESS; PAWSA  
Hear Me Out; CASSIMM, Mahalia Fontaine  
Black Roses; Ferra Black  
Going Down; Dennis Cruz  
Get 2 Know Me; Ashibah  
No Gravity; Marco Lys  
Everyday People; Prok & Fitch  
RIZZ; AYBBO  
Poke Bowl; Dennis Cruz  
Radio Los Santos; Kolter  
Dedication To House Music; Dennis Quin  
Summer In The Studio; ANOTR  
Lady Love; Oden & Fatzo, Camden Cox  
Hardwire; RUZE  
Jiggy Jerry; Sem Jacobs, Tagmann  
Goldigger; Dennis Cruz, Eddy M  
On My Mind - Enzo is Burning Remix; Alan Fitzpatrick, Ronnie 
It's a Party (PRX002); Dombresky  
My Hood; Dennis Cruz, LEON (Italy)  
24 (Turn It Up) (+6); ANOTR, Kurtis Wells  
Too Soon; Dombresky  
Crying at the Discoteque - Radio Edit; Alcazar
